_DialogCode,_Chapter,_Name,_Comment,_Text
Chapter_epi-0017300,Prologue-A-Colorful-Entrance,"Narration:
",,"It's Back To School Night. You go back and forth from your mom's car to carry water bottles to the venue. It takes just a few trips but the weight tires out your arms. Thank god that you're not in any of the sports clubs.
"
Chapter_epi-0017500,Prologue-A-Colorful-Entrance,"Narration:
",,"As you rest on a nearby bench, you see something colorful faintly glowing bright on the ground. It looks like a poorly drawn hand doing a peace sign. The pain is real. Hands are the bane of every artist's existence. 
"
Chapter_epi-0017700,Prologue-A-Colorful-Entrance,"Narration:
",,"…Wait, this looks like the work of Kyo!
"
Chapter_epi-0017900,Prologue-A-Colorful-Entrance,"Narration:
",,"This is the only sign you've seen of him in school all week. What the hell is he up to? 
"
Chapter_epi-0018100,Prologue-A-Colorful-Entrance,"Narration:
",,"As you look onward, you see more graffiti symbols in the distance, scattered far apart in a way that beckons you to follow it.
"
Chapter_epi-0018300,Prologue-A-Colorful-Entrance,"[School Rooftop Night]
",,"[School Rooftop Night]
"
Chapter_epi-0018600,Prologue-A-Colorful-Entrance,"Narration:
",,"You follow the path until you arrive at the school's rooftop. 
"
Chapter_epi-0018800,Prologue-A-Colorful-Entrance,"Narration:
",,"There he is, spray painting in the air as if there's a wall. 
"
Chapter_epi-0019000,Prologue-A-Colorful-Entrance,"Narration:
",,"You call out to him.  
"
Chapter_epi-0019300,Prologue-A-Colorful-Entrance,"Player:
",,"Kyo?
"
Chapter_epi-0019500,Prologue-A-Colorful-Entrance,"[Kyo_FP_Shocked]
",,"[Kyo_FP_Shocked]
"
Chapter_epi-0019800,Prologue-A-Colorful-Entrance,"Narration:
",,"Kyo turns around.
"
Chapter_epi-0020100,Prologue-A-Colorful-Entrance,"Kyo:
",,"Oh shit, hi [Player]!
"
Chapter_epi-0020400,Prologue-A-Colorful-Entrance,"Player:
",,"Where have you been? I haven't seen you in school all week.
"
Chapter_epi-0020700,Prologue-A-Colorful-Entrance,"Kyo [Kyo_FP_Default]:
",,"Um, about that...
"
Chapter_epi-0021000,Prologue-A-Colorful-Entrance,"Narration:
",,"He shakes his spray paint can but doesn't use it. He looks back and forth between the paint on the ground, the moon above, and you, as if he's contemplating his next move. He sighs.
"
Chapter_epi-0021300,Prologue-A-Colorful-Entrance,"Kyo:
",,"You weren't supposed to come here. 
"
Chapter_epi-0021600,Prologue-A-Colorful-Entrance,"Player:
",,"But you left a paint trail.
"
Chapter_epi-0021900,Prologue-A-Colorful-Entrance,"Kyo:
",,"That wasn't really a trail. I didn't think you'd... Damn it, I was supposed to leave before you saw me.
"
Chapter_epi-0022200,Prologue-A-Colorful-Entrance,"Player:
",,"Wait, you're leaving? What's going on?
"
Chapter_epi-0022500,Prologue-A-Colorful-Entrance,"Kyo:
",,"You know what, fuck it. I'm not going yet. 'Cause I don't even know where to begin explaining everything.
"
Chapter_epi-0022800,Prologue-A-Colorful-Entrance,"Narration:
",,"He's right. You have too many questions. 
"
Chapter_epi-0023000,Prologue-A-Colorful-Entrance,"Narration:
",,"You remember the confused faces of the club members from last week.
"
Chapter_epi-0023300,Prologue-A-Colorful-Entrance,"Player:
",,"Kyo, you're... real, right?
"
Chapter_epi-0023600,Prologue-A-Colorful-Entrance,"Narration:
",,"Kyo busts out a quick laugh.
"
Chapter_epi-0023900,Prologue-A-Colorful-Entrance,"Kyo:
",,"Nah you're just imagining me in your head. Wake up. It's been years since the accident—
"
Chapter_epi-0024200,Prologue-A-Colorful-Entrance,"Player:
",,"Kyo, I'm serious. None of the club members see or hear you except me. They don't even know who you are. Why? Are you a ghost? Who and what even are you?
"
Chapter_epi-0024500,Prologue-A-Colorful-Entrance,"Narration:
",,"Kyo lets out a deep sigh.
"
Chapter_epi-0024800,Prologue-A-Colorful-Entrance,"Kyo:
",,"I don't actually go here. I used to, but it was a long time ago.
"
Chapter_epi-0025100,Prologue-A-Colorful-Entrance,"Player:
",,"Why are you here then?
"
Chapter_epi-0025300,Prologue-A-Colorful-Entrance,"[Kyo CG]
",,"[Kyo CG]
"
Chapter_epi-0025600,Prologue-A-Colorful-Entrance,"Kyo:
",,"To help you make friends.
"
Chapter_epi-0025900,Prologue-A-Colorful-Entrance,"Narration:
",,"Your eyes widen.
"
Chapter_epi-0026200,Prologue-A-Colorful-Entrance,"Player:
",,"How'd you know I wanted to...?
"
Chapter_epi-0026500,Prologue-A-Colorful-Entrance,"Kyo:
",,"You're the reason I opened up the radio club in the first place.
"
Chapter_epi-0026800,Prologue-A-Colorful-Entrance,"Player:
",,"Huh?! Wait, then you were the only club member on purpose?
"
Chapter_epi-0027100,Prologue-A-Colorful-Entrance,"Kyo:
",,"Haha, yup.
"
Chapter_epi-0027400,Prologue-A-Colorful-Entrance,"Player:
",,"I'm still not over you forcing me to do free labor though.
"
Chapter_epi-0027700,Prologue-A-Colorful-Entrance,"Kyo:
",,"It's better if you initiate these friendships on your own. I'm just here to make sure you stay on track. You're the lonely one here, not me.
"
Chapter_epi-0028000,Prologue-A-Colorful-Entrance,"Narration:
",,"You roll your eyes. 
"
Chapter_epi-0028300,Prologue-A-Colorful-Entrance,"Kyo:
",,"You're not even gonna thank me?! 
"
Chapter_epi-0028600,Prologue-A-Colorful-Entrance,"Player:
",,"I still have more questions for you, funny man.
"
Chapter_epi-0028900,Prologue-A-Colorful-Entrance,"Kyo:
",,"Okay, shoot.
"
Chapter_epi-0029200,Prologue-A-Colorful-Entrance,"Player:
",,"If you've been a student here, why does no one remember you at all?
"
Chapter_epi-0029500,Prologue-A-Colorful-Entrance,"Kyo:
",,"That's because I don't exist in your reality anymore. I live in another universe.
"
Chapter_epi-0029800,Prologue-A-Colorful-Entrance,"Player:
",,"You're an alien?!
"
Chapter_epi-0030100,Prologue-A-Colorful-Entrance,"Kyo:
",,"Okay no, but I know someone else who is. Anyways, I was isekai'd a while ago. But just recently, I've been blessed by the moon, so now I'm able to travel between your reality and mine.
"
Chapter_epi-0030300,Prologue-A-Colorful-Entrance,"Kyo:
",,"The problem is, I'm still learning how to use this power. So it's not perfect. It's kinda weird actually. Right now, I'm like in a world between yours and mine. I can't really see you, only the outline of you. 
"
Chapter_epi-0030600,Prologue-A-Colorful-Entrance,"Narration:
",,"Kyo pauses for a bit as if he's thinking.
"
Chapter_epi-0030900,Prologue-A-Colorful-Entrance,"Kyo:
",,"Give me a high five.
"
Chapter_epi-0031200,Prologue-A-Colorful-Entrance,"Player:
",,"For what?
"
Chapter_epi-0031500,Prologue-A-Colorful-Entrance,"Kyo:
",,"For being able to keep up with me. You know, since I speak so fast.
"
Chapter_epi-0031800,Prologue-A-Colorful-Entrance,"Player:
",,"O...kay.
"
Chapter_epi-0032100,Prologue-A-Colorful-Entrance,"Narration:
",,"When you go high five Kyo, your hand goes through his like air. You don't feel him at all.
"
Chapter_epi-0032300,Prologue-A-Colorful-Entrance,"Narration:
",,"You stand there in silence, flabbergasted. A realization hits you.
"
Chapter_epi-0032600,Prologue-A-Colorful-Entrance,"Player:
",,"So you're the one haunting this school!
"
Chapter_epi-0032900,Prologue-A-Colorful-Entrance,"Kyo:
",,"Wait, what?
"
Chapter_epi-0033200,Prologue-A-Colorful-Entrance,"Player:
",,"Dude, did you not know? The paranormal activity club has been obsessed with you for a long time now. They've been trying to contact you and everything. 
"
Chapter_epi-0033500,Prologue-A-Colorful-Entrance,"Kyo:
",,"They can't see me, right?
"
Chapter_epi-0033800,Prologue-A-Colorful-Entrance,"Player:
",,"That's not what I mean. But there's been ghost-like activity happening around school. I think you have something to do with it.
"
Chapter_epi-0034100,Prologue-A-Colorful-Entrance,"Kyo:
",,"Shit, my bad. Didn't mean to.
"
Chapter_epi-0034400,Prologue-A-Colorful-Entrance,"Player:
",,"If only they knew I was talking to a ghost the entire time. Wait, I don't think anybody heard you speak either. Not even the club members. Except me. What the hell?
"
Chapter_epi-0034700,Prologue-A-Colorful-Entrance,"Kyo:
",,"You're the one I was assigned to help.
"
Chapter_epi-0035000,Prologue-A-Colorful-Entrance,"Player:
",,"Assigned?
"
Chapter_epi-0035300,Prologue-A-Colorful-Entrance,"Kyo:
",,"By the moon. Who also gave me my powers. Consider yourself lucky.
"
Chapter_epi-0035600,Prologue-A-Colorful-Entrance,"Player:
",,"I was chosen? Wow...
"
Chapter_epi-0035900,Prologue-A-Colorful-Entrance,"Kyo:
",,"But I'm running out of time. Now, I won't exist in this reality again. For real this time.
"
Chapter_epi-0036200,Prologue-A-Colorful-Entrance,"Narration:
",,"The school bell rings. [School Bell SFX]
"
Chapter_epi-0036500,Prologue-A-Colorful-Entrance,"Kyo:
",,"Go. Your friends are waiting for you.
"
Chapter_epi-0036800,Prologue-A-Colorful-Entrance,"Narration:
",,"Kyo sets up his exit.
"
Chapter_epi-0037100,Prologue-A-Colorful-Entrance,"Player:
",,"Wait! Before you go...
"
Chapter_epi-0037300,Prologue-A-Colorful-Entrance,"Player:
",,"Thank you. For everything.
"
Chapter_epi-0037600,Prologue-A-Colorful-Entrance,"Narration:
",,"Kyo looks back one last time and smiles.
"
Chapter_epi-0037800,Prologue-A-Colorful-Entrance,"[Fade out Kyo, use the Kyo_BG in his special scene folder]
",,"[Fade out Kyo, use the Kyo_BG in his special scene folder]
"
Chapter_epi-0038000,Prologue-A-Colorful-Entrance,"[Game end]
",,"[Game end]
"
Chapter_epi-0038200,Prologue-A-Colorful-Entrance,[Go to credits],,[Go to credits]
